N,LB,TH,K,weight_mode,vol_target,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,calmar_ratio,exposure_pct,total_trades,final_nav
50,14,0.65,5,Inverse_Vol,False,1200.47,170.67,-43.69,2.03,3.91,26.6,196,130046.72
50,14,0.5,5,Inverse_Vol,False,1230.49,173.08,-46.25,2.0,3.74,30.1,220,133048.87
50,14,0.4,5,Inverse_Vol,False,1105.83,162.85,-47.35,1.9,3.44,32.6,245,120583.44
50,14,0.5,5,Inverse_Vol,True,1083.13,160.91,-51.39,1.89,3.13,30.1,220,118312.54
50,14,0.65,5,Equal_Weight,False,996.8,153.35,-45.8,1.88,3.35,26.6,196,109679.76
50,14,0.65,5,Inverse_Vol,True,989.0,152.65,-50.01,1.88,3.05,26.6,196,108900.08
50,14,0.65,3,Inverse_Vol,False,1349.73,182.33,-50.22,1.83,3.63,26.6,170,144973.39
50,14,0.5,5,Equal_Weight,False,982.52,152.07,-46.7,1.83,3.26,30.1,220,108252.43
50,14,0.5,3,Inverse_Vol,True,1604.59,200.64,-56.61,1.82,3.54,30.1,187,170458.53
50,14,0.5,3,Inverse_Vol,False,1394.04,185.65,-51.4,1.81,3.61,30.1,187,149403.92
50,14,0.65,3,Inverse_Vol,True,1409.12,186.76,-57.0,1.79,3.28,26.6,170,150912.11
50,14,0.4,5,Inverse_Vol,True,965.6,150.53,-53.76,1.79,2.8,32.6,245,106560.13
50,14,0.65,3,Hysteresis_Rank,False,1285.65,177.42,-48.69,1.77,3.64,26.6,112,138565.33
50,14,0.65,3,Equal_Weight,False,1343.73,181.87,-55.98,1.76,3.25,26.6,170,144373.32
50,14,0.5,3,Equal_Weight,False,1340.89,181.66,-54.27,1.74,3.35,30.1,187,144088.68
50,14,0.5,3,Equal_Weight,True,1487.96,192.49,-61.41,1.72,3.13,30.1,187,158795.71
50,14,0.4,5,Equal_Weight,False,858.62,140.45,-48.78,1.72,2.88,32.6,245,95861.85
50,14,0.65,5,Equal_Weight,True,828.11,137.45,-52.18,1.72,2.63,26.6,196,92811.38
50,14,0.5,5,Equal_Weight,True,871.6,141.71,-52.8,1.71,2.68,30.1,220,97160.46
50,14,0.65,3,Equal_Weight,True,1361.37,183.21,-63.11,1.7,2.9,26.6,170,146136.53
50,14,0.65,5,Hysteresis_Rank,False,655.27,119.2,-45.66,1.7,2.61,26.6,145,75526.52
50,14,0.4,3,Inverse_Vol,False,1151.77,166.69,-53.43,1.69,3.12,32.6,213,125176.63
50,14,0.4,3,Inverse_Vol,True,1291.01,177.83,-60.25,1.69,2.95,32.6,213,139101.11
30,14,0.5,3,Hysteresis_Rank,False,743.04,128.75,-41.11,1.68,3.13,30.8,135,84303.63
50,14,0.65,3,Hysteresis_Rank,True,1201.61,170.76,-55.74,1.68,3.06,26.6,112,130161.07
